Time,EdgeID,Speed,Occupancy
30.0,111782596#2,4.525028555075405,0.10518934081346423
30.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
30.0,375012288#1,13.41,0.0
31.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
31.0,111782596#2,4.948084284275538,0.10518934081346423
31.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
31.0,375012288#1,13.41,0.0
32.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
32.0,111782596#2,5.368238017571857,0.10518934081346423
32.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
32.0,375012288#1,12.197466935664362,0.08529512111907199
33.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
33.0,111782596#2,6.000170082200784,0.10518934081346423
33.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
33.0,375012288#1,12.219099211464584,0.08529512111907199
34.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
34.0,111782596#2,6.17041702419176,0.10518934081346423
34.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
34.0,375012288#1,11.39757666569451,0.08529512111907199
35.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
35.0,111782596#2,5.75889545678133,0.10518934081346423
35.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
35.0,375012288#1,13.41,0.0
36.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
36.0,111782596#2,4.63389545678133,0.10518934081346423
36.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
36.0,375012288#1,13.41,0.0
37.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
37.0,111782596#2,4.590513472595392,0.10964436961558835
37.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
37.0,375012288#1,13.59238908539642,0.08529512111907199
38.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
38.0,111782596#2,4.967955106851088,0.13440860215053763
38.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
38.0,375012288#1,13.90380186092457,0.08529512111907199
39.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
39.0,111782596#2,5.14381836870856,0.13440860215053763
39.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
39.0,375012288#1,13.41,0.0
40.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
40.0,111782596#2,5.5200698781019515,0.13440860215053763
40.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
40.0,375012288#1,13.41,0.0
41.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
41.0,111782596#2,4.818876523239976,0.13440860215053763
41.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
41.0,375012288#1,13.41,0.0
42.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
42.0,111782596#2,3.955894940283122,0.13440860215053763
42.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
42.0,375012288#1,13.41,0.0
43.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
43.0,111782596#2,2.5319918717664924,0.16362786348761102
43.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
43.0,375012288#1,13.41,0.0
44.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
44.0,111782596#2,2.165682939214045,0.1928471248246844
44.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
44.0,375012288#1,13.41,0.0
45.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
45.0,111782596#2,2.678149005940467,0.1928471248246844
45.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
45.0,375012288#1,13.41,0.0
46.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
46.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
46.0,111782596#2,3.951456564659762,0.18351385114370572
46.0,:cluster_1266252708_9152246649_9152246652_9338705811_#2more_6,2.5981153228785843,0.10528080371055207
46.0,375012288#1,13.41,0.0
47.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
47.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
47.0,111782596#2,4.803578727395807,0.154862085086489
47.0,:cluster_1266252708_9152246649_9152246652_9338705811_#2more_6,5.279565424192697,0.42847725774555045
47.0,375012288#1,13.41,0.0
48.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
48.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
48.0,111782596#2,5.830733340546134,0.154862085086489
48.0,:cluster_1266252708_9152246649_9152246652_9338705811_#2more_6,7.356892501353286,0.42847725774555045
48.0,375012288#1,13.41,0.0
49.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
49.0,-117446409#4,7.527901829149387,0.34300791556728233
49.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
49.0,111782596#2,6.8262151463049205,0.10061947483303037
49.0,:cluster_1266252708_9152246649_9152246652_9338705811_#2more_6,6.687070364868408,0.28226733464547415
49.0,375012288#1,13.41,0.0
50.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
50.0,-117446409#4,9.996122607191838,0.34300791556728233
50.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
50.0,111782596#2,7.834002414848058,0.0876577840112202
50.0,:cluster_1266252708_9152246649_9152246652_9338705811_#2more_6,7.21197847426644,0.42847725774555045
50.0,375012288#1,13.41,0.0
51.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
51.0,-117446409#3,11.553216545012965,0.358719646799117
51.0,-117446409#4,7.30563310706763,0.19153599197392676
51.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
51.0,111782596#2,7.225079152054043,0.0876577840112202
51.0,:cluster_1266252708_9152246649_9152246652_9338705811_#2more_6,8.27,0.18921509242545076
51.0,375012288#1,13.41,0.0
52.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
52.0,-117446409#3,11.18,0.2524528233202471
52.0,-117446409#4,9.405286450621285,0.34300791556728233
52.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
52.0,111782596#2,8.13823546003153,0.07122829098354803
52.0,:cluster_1266252708_9152246649_9152246652_9338705811_#2more_6,6.42014983242248,0.18532728061273968
52.0,-117446409#2,10.954746142247878,0.048365213967186044
52.0,375012288#1,13.41,0.0
53.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
53.0,-117446409#3,10.146645680348255,0.2280098884589103
