Time,EdgeID,Speed,Occupancy
78.0,:cluster_11592056388_1266252701_49470095_9152246641_1,9.62,0.0
78.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_1,13.41,0.07295860135006772
78.0,947448834#1,9.509904203852788,0.020229198654766915
79.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_7,13.41,0.0
79.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
79.0,375012288#1,13.41,0.0
79.0,-117446409#2,11.18,0.0
79.0,:cluster_1266252704_49470093_5674124717_5674124718_#11more_4,12.49,0.0
79.0,375012288#5,11.854395295118536,0.05956682919163078
79.0,425002736#1,12.485189207141099,0.18584000597705813
79.0,-117446409#3,11.18,0.0
79.0,-117446409#4,11.18,0.0
79.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
79.0,:cluster_1266252704_49470093_5674124717_5674124718_#11more_17,9.89147361837542,0.15959144589849986
79.0,111782596#2,12.628600626131519,0.029219261337073397
79.0,:cluster_49555756_9005168266_3,13.41,0.0
79.0,130451981#3,13.41,0.0
79.0,130451981#2,13.41,0.0
79.0,375012288#0,13.198520827685996,0.07372456502506636
79.0,399093877#1,13.41,0.0
79.0,455277311#1,11.549361253716292,0.10229327243315253
79.0,:cluster_1323073964_49486845_9005168278_9005168279_#4more_21,6.95,0.0
79.0,:cluster_1323073964_49486845_9005168278_9005168279_#4more_13,5.709200250041633,0.17851187997591583
79.0,:cluster_1266252708_9152246649_9152246652_9338705811_#2more_6,8.27,0.0
79.0,:cluster_11592056388_1266252701_49470095_9152246641_1,9.62,0.0
79.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_1,13.41,0.0
79.0,947448834#1,10.322155261642914,0.025885276454752536
80.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_7,13.41,0.0
80.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
80.0,375012288#1,13.41,0.0
80.0,-117446409#2,11.18,0.0
80.0,:cluster_1266252704_49470093_5674124717_5674124718_#11more_4,12.49,0.0
80.0,375012288#5,11.955997659663147,0.05177591384487937
80.0,425002736#1,13.307836551530778,0.20741564683619768
80.0,-117446409#3,11.18,0.0
80.0,-117446409#4,11.18,0.0
80.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
80.0,:cluster_1266252704_49470093_5674124717_5674124718_#11more_17,11.867142763912959,0.15959144589849986
80.0,111782596#2,12.938265891550724,0.029219261337073397
80.0,:cluster_49555756_9005168266_3,13.41,0.0
80.0,130451981#3,13.41,0.0
80.0,130451981#2,13.41,0.0
80.0,375012288#0,13.33144832282239,0.07372456502506636
80.0,399093877#1,12.714207471512665,0.02093984185306672
80.0,455277311#1,11.229294265775003,0.10229327243315253
80.0,:cluster_1323073964_49486845_9005168278_9005168279_#4more_21,6.95,0.0
80.0,:cluster_1323073964_49486845_9005168278_9005168279_#4more_13,5.232099622474946,0.25536261491317674
80.0,:cluster_1266252708_9152246649_9152246652_9338705811_#2more_6,8.27,0.0
80.0,:cluster_11592056388_1266252701_49470095_9152246641_1,9.62,0.0
80.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_1,13.41,0.0
80.0,947448834#1,11.577153261038625,0.025885276454752536
81.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_7,13.41,0.0
81.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
81.0,375012288#1,13.41,0.0
81.0,-117446409#2,11.18,0.0
81.0,:cluster_1266252704_49470093_5674124717_5674124718_#11more_4,12.49,0.0
81.0,375012288#5,12.476963866293268,0.025887956922439684
81.0,425002736#1,12.978478302087863,0.07215007215007216
81.0,-117446409#3,11.18,0.0
81.0,-117446409#4,11.18,0.0
81.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
81.0,:cluster_1266252704_49470093_5674124717_5674124718_#11more_17,11.6,0.0
81.0,111782596#2,13.075129428776595,0.029219261337073397
81.0,:cluster_49555756_9005168266_3,13.401855047102135,0.26652452025586354
81.0,130451981#3,13.41,0.0
81.0,130451981#2,13.41,0.0
81.0,375012288#0,13.065128171301597,0.07372456502506636
81.0,399093877#1,13.049658023370329,0.1577936333699232
81.0,455277311#1,12.166279400767872,0.07850413930916357
81.0,:cluster_1323073964_49486845_9005168278_9005168279_#4more_21,6.95,0.0
81.0,:cluster_1323073964_49486845_9005168278_9005168279_#4more_13,5.71142030554913,0.25536261491317674
81.0,:cluster_1266252708_9152246649_9152246652_9338705811_#2more_6,8.27,0.0
81.0,:cluster_11592056388_1266252701_49470095_9152246641_1,9.62,0.0
81.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_1,13.41,0.0
81.0,947448834#1,12.568914950019828,0.025885276454752536
